معرف_الرحلة,معرف_السائق,مؤشر_القيادة_الآمنة,تصنيف_السائق,مدة_الرحلة_دقيقة,متوسط_السرعة,أقصى_سرعة,عدد_الفرملات_الحادة,عدد_التسارعات_الحادة,عدد_تغييرات_المسار,نسبة_السرعة_الزائدة,متوسط_الازدحام,نوع_الطريق,نوع_السائق_الفعلي,وقت_اليوم,الطقس,التوصية
d2ffaec2,e89c6995,57.59,معتدل,41.0,55.36,74.61,8,0,2,18.29,0.322,شارع داخلي,آمن,الليل,صافي,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
f6322c51,8332ea93,0.0,خطر,51.0,41.47,52.0,17,0,7,65.2,0.469,حي سكني,آمن,ساعة الذروة الصباحية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
835c0913,bda3da73,21.78,خطر,10.0,64.98,78.0,1,0,1,87.83,0.19,شارع داخلي,آمن,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
95196429,b3a27888,0.0,خطر,50.0,30.23,91.27,563,209,36,0.2,0.742,طريق رئيسي,متهور,ساعة الذروة الصباحية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
eceacc32,1888f112,0.0,خطر,34.0,31.29,52.0,375,198,20,34.12,0.093,حي سكني,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
125733d8,23c28679,34.43,خطر,39.0,35.73,52.0,16,0,1,18.42,0.253,حي سكني,آمن,منتصف النهار,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
d2eb3663,466d2eeb,0.0,خطر,48.0,49.9,104.0,604,337,42,9.1,0.147,طريق رئيسي,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
821b9c3a,9e583b1c,0.0,خطر,5.0,16.61,64.57,32,16,2,0.33,0.884,شارع داخلي,متهور,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
bcf77fd5,c6fb3ad2,0.0,خطر,26.0,72.39,122.23,295,117,13,0.06,0.078,طريق سريع,متهور,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
d18e8a5c,3bc00f4e,0.0,خطر,31.0,36.99,99.06,316,124,15,0.48,0.7,طريق رئيسي,متهور,ساعة الذروة الصباحية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c979f272,be910f29,0.0,خطر,15.0,38.41,104.0,169,63,9,2.56,0.141,طريق رئيسي,متهور,منتصف الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
7ba27bdd,62c7ff3d,42.6,خطر,56.0,65.37,80.09,19,0,2,0.06,0.136,طريق رئيسي,آمن,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a6afb0b0,5b0f78b9,0.0,خطر,16.0,50.01,101.4,168,56,8,6.15,0.127,طريق رئيسي,متهور,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c3940e79,64f947e2,0.0,خطر,31.0,77.14,143.44,362,208,24,2.8,0.084,طريق سريع,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0b01bd4e,2873c05e,0.0,خطر,36.0,43.89,78.0,114,32,11,7.41,0.279,شارع داخلي,معتدل,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
4c5a106e,a1f6bd57,0.0,خطر,46.0,51.16,78.0,127,25,5,22.25,0.325,شارع داخلي,معتدل,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
9faa6143,d6ab824d,0.0,خطر,51.0,51.98,78.0,150,25,11,23.89,0.344,شارع داخلي,معتدل,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
168af0f2,bbe06028,0.0,خطر,35.0,36.27,88.31,356,147,22,0.67,0.131,طريق رئيسي,متهور,منتصف الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
00a23e1d,9f19b71d,0.0,خطر,27.0,27.88,52.0,289,146,17,28.89,0.149,حي سكني,مشتت,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
6853c284,6aad3519,0.0,خطر,30.0,27.27,52.0,320,171,18,26.11,0.319,حي سكني,مشتت,منتصف النهار,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
9bf67832,43e10e8c,72.49,معتدل,25.0,47.38,61.39,9,0,2,0.2,0.214,شارع داخلي,آمن,منتصف الليل,عاصفة رملية,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
f0a27d53,01af92ba,28.38,خطر,7.0,33.77,52.0,15,3,0,24.76,0.258,حي سكني,معتدل,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
eabfbd0d,2d3f0948,0.0,خطر,27.0,47.6,78.0,73,15,3,14.81,0.959,شارع داخلي,معتدل,ساعة الذروة المسائية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
6f4c9071,71a637ec,0.0,خطر,23.0,44.97,104.0,227,102,16,4.35,0.208,طريق رئيسي,متهور,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
25e76c84,6955c3e3,0.0,خطر,25.0,36.2,52.0,64,7,2,40.47,0.172,حي سكني,معتدل,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
35ddcce4,998c4387,0.0,خطر,36.0,25.21,78.0,405,140,16,2.22,0.326,شارع داخلي,متهور,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
71d7c5e9,d0bad275,0.0,خطر,17.0,36.91,52.0,35,10,4,40.29,0.111,حي سكني,معتدل,منتصف الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
de2d57c4,bf1ca367,0.0,خطر,48.0,29.63,52.0,124,26,14,20.66,0.108,حي سكني,معتدل,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
2235294a,585ec699,77.48,معتدل,19.0,30.06,48.18,7,0,1,2.19,0.638,حي سكني,آمن,ساعة الذروة المسائية,صافي,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
fb6f9bb3,8a27eff7,0.0,خطر,35.0,86.82,102.33,11,0,0,92.19,0.148,طريق رئيسي,آمن,منتصف الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
e4aa7a46,0175f6af,0.0,خطر,51.0,89.08,156.0,674,361,34,7.03,0.469,طريق سريع,مشتت,ساعة الذروة المسائية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
6609a727,4e52479a,0.0,خطر,52.0,72.61,147.24,552,208,16,0.87,0.072,طريق سريع,متهور,منتصف الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
8aa9dc48,bb7a6b47,0.0,خطر,43.0,93.62,138.34,121,24,8,1.94,0.208,طريق سريع,معتدل,منتصف النهار,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
996af618,f3f2da01,71.21,معتدل,28.0,108.63,122.85,9,0,3,0.6,0.209,طريق سريع,آمن,منتصف النهار,أمطار خفيفة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
f968b730,4731be4c,15.13,خطر,38.0,63.51,78.0,6,0,2,81.58,0.959,شارع داخلي,آمن,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
37b4abb8,de1c62db,0.0,خطر,12.0,46.2,78.0,26,11,3,15.0,0.202,شارع داخلي,معتدل,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a41e4e7e,4668a23c,0.0,خطر,10.0,38.88,78.0,106,38,6,14.0,0.27,شارع داخلي,متهور,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
bb5b44ce,be83e229,0.0,خطر,10.0,41.21,52.0,24,2,1,64.33,0.135,حي سكني,معتدل,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b8d47797,044f8ce2,0.0,خطر,31.0,24.18,52.0,316,110,13,17.31,0.136,حي سكني,متهور,الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
23676e9f,d2311938,0.0,خطر,19.0,50.31,78.0,48,9,5,20.79,0.651,شارع داخلي,معتدل,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
4748ff68,b75df284,39.23,خطر,16.0,60.81,74.38,3,0,1,64.17,0.876,شارع داخلي,آمن,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
115cbe62,1a553fe0,0.0,خطر,11.0,63.07,104.0,129,69,6,25.15,0.207,طريق رئيسي,مشتت,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
2e4e5f80,116f5eb8,0.0,خطر,30.0,58.19,98.51,89,22,5,3.22,0.771,طريق رئيسي,معتدل,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
f6fa41fd,c1ffc2bc,0.0,خطر,30.0,40.16,78.0,395,179,24,17.72,0.718,شارع داخلي,مشتت,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
67a2085e,5916e053,0.0,خطر,28.0,51.01,78.0,65,18,10,25.48,0.159,شارع داخلي,معتدل,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
ce81f64a,1f7126f4,0.0,خطر,17.0,48.75,78.0,47,3,5,14.61,0.16,شارع داخلي,معتدل,منتصف الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
dcab9c25,a958bada,39.53,خطر,43.0,28.25,47.39,19,0,6,0.93,0.499,حي سكني,آمن,ساعة الذروة المسائية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
81cad62b,0feb42f1,37.93,خطر,34.0,36.49,51.4,13,0,2,23.97,0.106,حي سكني,آمن,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
41c790e4,5863bd9d,25.71,خطر,47.0,47.78,63.86,24,0,4,0.21,0.207,شارع داخلي,آمن,منتصف الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
32387f3e,9f918afc,0.0,خطر,52.0,58.8,93.27,150,34,5,3.56,0.812,طريق رئيسي,معتدل,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
5c3ef24a,7c909f43,0.0,خطر,47.0,39.56,78.0,519,188,23,14.36,0.165,شارع داخلي,متهور,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a59a9003,f4f7828d,26.46,خطر,52.0,37.9,52.0,15,0,1,34.84,0.686,حي سكني,آمن,ساعة الذروة المسائية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
3ce7419c,86c83ef0,16.26,خطر,44.0,81.56,99.73,9,0,3,66.86,0.832,طريق رئيسي,آمن,ساعة الذروة المسائية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
50854808,66ae15a4,0.0,خطر,30.0,65.44,99.11,85,19,4,11.11,0.682,طريق رئيسي,معتدل,ساعة الذروة الصباحية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
72c247f1,9d7734ba,0.0,خطر,36.0,73.06,104.0,105,26,3,27.22,0.213,طريق رئيسي,معتدل,الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
8ee6214d,27658c4d,0.0,خطر,41.0,29.66,78.0,436,156,23,4.43,0.318,شارع داخلي,متهور,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b3aeb19e,759fb024,0.0,خطر,29.0,28.54,78.0,277,110,9,4.89,0.579,شارع داخلي,متهور,منتصف النهار,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
559ac278,6998b246,0.0,خطر,59.0,34.77,78.0,738,429,48,13.11,0.184,شارع داخلي,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0236f79d,53e6ac1e,0.0,خطر,51.0,57.29,104.0,644,348,40,15.16,0.408,طريق رئيسي,مشتت,منتصف النهار,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0d2ede32,ffc9a7fb,92.84,آمن,25.0,68.96,85.37,2,0,1,1.67,0.457,طريق رئيسي,آمن,منتصف النهار,صافي,ممتاز! استمر على هذا الأداء
a68a0b6b,8208543b,0.0,خطر,24.0,69.42,104.0,67,19,2,16.67,0.808,طريق رئيسي,معتدل,ساعة الذروة الصباحية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
3e0cb2af,bd8821da,0.0,خطر,28.0,25.79,78.0,279,115,8,2.26,0.961,شارع داخلي,متهور,ساعة الذروة المسائية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b076b993,5cd41fe6,61.22,معتدل,29.0,113.79,127.33,9,0,0,12.47,0.079,طريق سريع,آمن,منتصف الليل,صافي,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
533308ce,6a0f5f2d,0.0,خطر,10.0,65.32,117.58,102,44,2,0.0,0.34,طريق سريع,متهور,ساعة الذروة المسائية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
f9a7cf98,add3baa8,0.0,خطر,48.0,59.73,95.34,115,32,11,3.4,0.933,طريق رئيسي,معتدل,ساعة الذروة المسائية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
1a29233c,b7518f91,0.0,خطر,33.0,35.41,91.88,332,150,19,0.86,0.339,طريق رئيسي,متهور,منتصف النهار,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
3925518a,c2f6a635,55.48,معتدل,13.0,38.73,52.0,1,0,2,46.92,0.124,حي سكني,آمن,الليل,أمطار خفيفة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
4045d226,ab4217be,48.93,خطر,48.0,46.53,66.11,16,0,5,0.24,0.292,شارع داخلي,آمن,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b6a1bf28,b322f2ff,0.0,خطر,42.0,34.34,52.0,91,22,12,31.11,0.102,حي سكني,معتدل,منتصف الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0454e95e,1c669ba2,20.1,خطر,52.0,80.92,95.73,9,0,7,61.06,0.834,طريق رئيسي,آمن,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
8f3ace85,6df7f6b7,0.0,خطر,15.0,39.67,104.0,195,103,11,4.89,0.17,طريق رئيسي,مشتت,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
3d932ed6,2339c52d,0.0,خطر,13.0,34.26,52.0,27,6,1,30.51,0.301,حي سكني,معتدل,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a6b69ef3,33e9f4a5,0.0,خطر,49.0,24.6,52.0,482,178,32,16.6,0.569,حي سكني,متهور,ساعة الذروة الصباحية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
5fbaceaa,1b82ceb3,0.0,خطر,34.0,35.34,52.0,80,7,5,33.63,0.086,حي سكني,معتدل,منتصف الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
588042f4,96901f57,21.36,خطر,10.0,81.63,111.2,24,5,2,0.0,0.372,طريق سريع,معتدل,ساعة الذروة المسائية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c1d62539,77fbf363,0.0,خطر,56.0,46.96,78.0,144,29,15,13.51,0.551,شارع داخلي,معتدل,منتصف النهار,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
ec61aa0c,3428f19b,0.0,خطر,53.0,77.98,156.0,661,367,30,3.58,0.098,طريق سريع,مشتت,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
754b3046,c7550a61,0.0,خطر,29.0,40.03,78.0,337,197,31,16.9,0.671,شارع داخلي,مشتت,منتصف النهار,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b09f94ed,ebc9215e,0.0,خطر,30.0,26.16,52.0,339,174,28,21.22,0.107,حي سكني,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
3c4232f2,e0ff9448,0.0,خطر,33.0,57.31,90.04,78,21,11,2.07,0.337,طريق رئيسي,معتدل,منتصف النهار,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
590b8e3a,a8d82816,0.0,خطر,48.0,98.07,138.77,116,29,9,4.48,0.084,طريق سريع,معتدل,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
dccd8332,5bfbb4c1,0.0,خطر,57.0,52.89,78.0,152,31,7,27.43,0.523,شارع داخلي,معتدل,منتصف النهار,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
12d2ba86,b5edc139,0.0,خطر,24.0,29.16,52.0,274,151,18,31.6,0.466,حي سكني,مشتت,ساعة الذروة الصباحية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b413b655,878b54ef,0.0,خطر,47.0,53.4,102.63,130,26,12,1.91,0.58,طريق رئيسي,معتدل,ساعة الذروة الصباحية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
f7b5174a,805a3a2a,0.0,خطر,47.0,20.82,52.0,122,26,10,4.15,0.129,حي سكني,معتدل,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
e6fd8b17,7edc79a3,0.0,خطر,27.0,22.42,52.0,286,145,17,17.78,0.499,حي سكني,مشتت,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
97e3b4d8,cdb92880,0.0,خطر,36.0,62.49,104.0,442,251,28,23.29,0.165,طريق رئيسي,مشتت,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
17e1eb4b,9d5440b5,0.0,خطر,41.0,30.49,78.0,452,173,16,6.46,0.315,شارع داخلي,متهور,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
ef45c15c,d3ed9f8f,0.0,خطر,37.0,85.68,125.35,91,26,6,0.32,0.116,طريق سريع,معتدل,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
ce469593,e253b0a6,0.0,خطر,15.0,42.8,77.72,37,12,2,8.11,0.947,شارع داخلي,معتدل,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
9d2a2f61,9eb87d12,0.0,خطر,58.0,31.64,52.0,136,27,8,26.95,0.633,حي سكني,معتدل,ساعة الذروة المسائية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
8a3f2faa,71a51ef1,0.0,خطر,11.0,72.51,112.22,114,45,7,0.0,0.323,طريق سريع,متهور,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
44ce16b4,85ecff88,60.81,معتدل,25.0,36.34,51.04,6,0,1,22.73,0.162,حي سكني,آمن,الليل,أمطار خفيفة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
f490c4fe,911f27a2,0.0,خطر,36.0,33.54,78.0,386,124,17,6.9,0.958,شارع داخلي,متهور,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
384ea8a4,18e479e4,0.0,خطر,57.0,32.03,78.0,687,362,43,8.77,0.352,شارع داخلي,مشتت,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
923dcb5b,682f7d7d,0.0,خطر,31.0,22.23,52.0,337,175,16,14.73,0.09,حي سكني,مشتت,منتصف الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
168d9dd7,e695ac03,57.7,معتدل,32.0,74.95,92.18,8,0,1,18.39,0.112,طريق رئيسي,آمن,منتصف الليل,أمطار خفيفة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
9d2378d1,cfda3374,0.0,خطر,57.0,38.1,104.0,719,401,41,3.8,0.618,طريق رئيسي,مشتت,ساعة الذروة الصباحية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
082037af,7ff4836b,0.0,خطر,20.0,101.19,138.73,47,15,5,6.92,0.173,طريق سريع,معتدل,منتصف النهار,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a08227f2,3c52cc05,0.0,خطر,48.0,67.79,78.0,14,0,2,95.35,0.958,شارع داخلي,آمن,ساعة الذروة الصباحية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
1fc18976,603e636b,0.0,خطر,34.0,102.17,141.86,87,21,8,6.13,0.093,طريق سريع,معتدل,الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
